,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Totall,TO
1970-01-01 00:00:00.000017329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000017330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000017331,0,0,0,0,102,38,3,1,0,0,0,0,0,24,0,0,0,1,6,0,0,2,4,0,0,0,0,0,0,0,0,0.0,10238.0
1970-01-01 00:00:00.000017332,0,0,0,0,0,0,10,14,1,2,21,14,40,1,0,0,0,0,0,0,0,3,0,2,18,0,36,4,12,6,1,0.0,0.0
1970-01-01 00:00:00.000017333,24,2,35,36,11,2,4,0,2,40,58,0,0,0,2,4,71,0,14,14,2,4,0,0,0,0,0,0,1,0,0,0.0,2423536112.0
1970-01-01 00:00:00.000017334,2,1,0,8,4,19,58,33,1,22,8,91,0,0,0,0,10,2,8,28,2,2,0,0,0,0,0,12,6,9,5,0.0,2108419.0
1970-01-01 00:00:00.000017335,1,1,0,0,0,35,2,1,4,29,1,0,0,1,4,0,0,1,0,17,34,0,11,6,0,1,0,1,8,8,1,0.0,1100035.0
1970-01-01 00:00:00.000017336,7,0,17,0,0,0,0,0,35,0,40,185,12,0,8,0,0,0,15,5,25,114,86,99,0,0,0,0,14,1,0,0.0,7017000.0
1970-01-01 00:00:00.000017337,1,0,2,0,0,0,20,0,0,0,0,1,7,13,4,0,1,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,102000.0
1970-01-01 00:00:00.000017338,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,20000.0
1970-01-01 00:00:00.000017339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000017736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000017737,0,0,0,0,10,0,0,3,4,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0
1970-01-01 00:00:00.000017738,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,91000.0
1970-01-01 00:00:00.000017739,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,20,0,0,15,63,23,3,0,35,1,0,0,0,0.0,0.0
1970-01-01 00:00:00.000017740,0,0,0,0,0,0,2,21,0,7,0,2,1,0,2,1,0,1,1,64,50,4,0,0,29,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000017741,0,20,0,1,61,34,27,102,3,18,152,30,13,0,0,36,52,19,0,0,22,0,30,2,0,0,0,1,3,2,0,0.0,20016134.0
1970-01-01 00:00:00.000017742,0,18,1,6,6,17,1,19,12,0,18,0,0,0,15,70,25,2,15,16,32,72,136,80,41,27,63,9,48,0,4,0.0,1816617.0
1970-01-01 00:00:00.000017743,38,4,0,0,0,8,3,6,10,0,6,9,4,59,9,37,8,61,0,0,29,11,0,0,119,1,63,0,1,1,18,0.0,3840008.0
1970-01-01 00:00:00.000017744,0,1,0,1,18,35,6,15,14,0,57,14,2,0,1,3,0,4,0,1,0,0,0,3,2,2,0,0,0,0,0,0.0,1011835.0
1970-01-01 00:00:00.000017745,3,10,0,0,0,0,0,28 1,42,16,0,0,0,0,2,69,1,0,46,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3100000.0
1970-01-01 00:00:00.000017746,2,1,0,0,12,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2100120.0
1970-01-01 00:00:00.000017747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,7,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018157,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018158,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,0,12,0,0,0,0.0,8120.0
1970-01-01 00:00:00.000018159,0,0,33,25,0,0,0,0,0,0,0,0,0,25,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,332500.0
1970-01-01 00:00:00.000018160,0,0,5,22,0,15,0,1,23,0,2,0,0,2,0,0,7,0,32,1,0,0,4,0,3,3,68,0,15,0,2,0.0,522015.0
1970-01-01 00:00:00.000018161,0,0,85,5,190,0,14,0,35,7,1,12,0,0,0,2,1,27,22,10,9,0,0,0,3,0,0,3,111,40,0,0.0,8551900.0
1970-01-01 00:00:00.000018162,38,88,1,61,10,3,1,1,1,63,11,56,30,3,28,46,32,4,5,13,59,0,0,0,0,0,3,6,0,0,0,0.0,3888161103.0
